time,weather,temperature,humidity,windDirection,windSpeed
2017-01-18 13:00,多云,6,42,东风,5级
2017-01-18 14:00,局部多云,7,38,东风,5级
2017-01-18 15:00,局部多云,6,41,东风,5级
2017-01-18 16:00,局部多云,5,44,东风,5级
2017-01-18 17:00,局部多云,4,47,东北风,5级
2017-01-18 18:00,局部多云,3,49,东风,5级
2017-01-18 19:00,局部多云,2,51,东风,5级
2017-01-18 20:00,局部多云,1,53,东风,5级
2017-01-18 21:00,局部多云,0,56,东南风,5级
2017-01-18 22:00,局部多云,0,59,东南风,5级
2017-01-18 23:00,局部多云,0,62,东南风,5级
2017-01-19 00:00,阴天,0,66,东南风,5级
2017-01-19 01:00,局部多云,0,68,南风,6级
2017-01-19 02:00,阴天,0,70,南风,6级
2017-01-19 03:00,局部多云,0,72,南风,6级
2017-01-19 04:00,阴天,0,74,南风,7级
2017-01-19 05:00,局部多云,0,76,南风,7级
2017-01-19 06:00,晴天,0,81,西南风,7级
2017-01-19 07:00,局部多云,0,85,西南风,7级
2017-01-19 08:00,晴朗,-1,89,西南风,7级
2017-01-19 09:00,晴朗,1,68,西风,9级
2017-01-19 10:00,晴朗,3,47,西风,10级
2017-01-19 11:00,晴朗,4,26,西北风,11级
2017-01-19 12:00,晴朗,4,26,西北风,11级
2017-01-19 13:00,晴朗,4,26,西北风,11级
2017-01-19 14:00,晴天,4,27,西北风,12级
2017-01-19 15:00,晴朗,3,26,西北风,11级
2017-01-19 16:00,晴朗,2,25,西北风,10级
2017-01-19 17:00,晴朗,1,24,西北风,9级
2017-01-19 18:00,晴朗,0,24,西北风,9级
2017-01-19 19:00,晴朗,-2,24,西北风,8级
2017-01-19 20:00,晴朗,-3,24,北风,8级
2017-01-19 21:00,晴朗,-3,24,北风,7级
2017-01-19 22:00,晴朗,-4,24,北风,7级
2017-01-19 23:00,晴朗,-4,24,北风,6级
2017-01-20 00:00,晴朗,-5,25,北风,7级
2017-01-20 01:00,晴朗,-5,25,北风,7级
2017-01-20 02:00,晴朗,-5,24,北风,6级
2017-01-20 03:00,晴朗,-5,24,西南风,6级
2017-01-20 04:00,晴朗,-5,25,东南风,5级
2017-01-20 05:00,晴朗,-5,25,北风,5级
2017-01-20 06:00,晴朗,-5,25,东北风,5级
2017-01-20 07:00,晴朗,-5,24,东北风,4级
2017-01-20 08:00,晴朗,-5,24,东北风,4级
2017-01-20 09:00,晴朗,-3,21,东北风,4级
2017-01-20 10:00,晴朗,-2,18,东北风,4级
2017-01-20 11:00,晴朗,-1,15,东北风,5级
2017-01-20 12:00,晴朗,0,14,东南风,4级
2017-01-20 13:00,晴朗,2,13,西南风,4级
2017-01-20 14:00,晴朗,3,12,北风,4级
2017-01-20 15:00,晴朗,3,14,西北风,3级
2017-01-20 16:00,晴朗,2,16,西南风,3级
