id,time,dayPower,capacity,lat,lng
293,2018-01-04,35,50,36.7302,117.631
293,2018-01-05,194,50,36.7302,117.631
293,2018-01-06,158,50,36.7302,117.631
293,2018-01-07,32,50,36.7302,117.631
293,2018-01-08,196,50,36.7302,117.631
293,2018-01-09,224,50,36.7302,117.631
293,2018-01-10,244,50,36.7302,117.631
293,2018-01-11,254,50,36.7302,117.631
293,2018-01-12,237,50,36.7302,117.631
293,2018-01-13,230,50,36.7302,117.631
293,2018-01-14,179,50,36.7302,117.631
293,2018-01-15,105,50,36.7302,117.631
293,2018-01-16,77,50,36.7302,117.631
293,2018-01-17,78,50,36.7302,117.631
293,2018-01-18,83,50,36.7302,117.631
293,2018-01-19,128,50,36.7302,117.631
293,2018-01-20,163,50,36.7302,117.631
293,2018-01-21,30,50,36.7302,117.631
293,2018-01-22,36,50,36.7302,117.631
293,2018-01-23,226,50,36.7302,117.631
293,2018-01-24,242,50,36.7302,117.631
293,2018-01-25,122,50,36.7302,117.631
293,2018-01-26,183,50,36.7302,117.631
293,2018-01-27,68,50,36.7302,117.631
293,2018-01-28,191,50,36.7302,117.631
293,2018-01-29,224,50,36.7302,117.631
293,2018-01-30,138,50,36.7302,117.631
293,2018-01-31,160,50,36.7302,117.631
293,2018-02-01,223,50,36.7302,117.631
293,2018-02-02,275,50,36.7302,117.631
293,2018-02-03,261,50,36.7302,117.631
293,2018-02-04,255,50,36.7302,117.631
293,2018-02-05,262,50,36.7302,117.631
293,2018-02-06,256,50,36.7302,117.631
293,2018-02-07,215,50,36.7302,117.631
293,2018-02-08,251,50,36.7302,117.631
293,2018-02-09,158,50,36.7302,117.631
293,2018-02-10,194,50,36.7302,117.631
293,2018-02-11,249,50,36.7302,117.631
293,2018-02-12,283,50,36.7302,117.631
293,2018-02-13,265,50,36.7302,117.631
293,2018-02-14,111,50,36.7302,117.631
293,2018-02-15,200,50,36.7302,117.631
293,2018-02-16,215,50,36.7302,117.631
293,2018-02-17,118,50,36.7302,117.631
293,2018-02-18,189,50,36.7302,117.631
293,2018-02-19,156,50,36.7302,117.631
293,2018-02-20,41,50,36.7302,117.631
293,2018-02-21,267,50,36.7302,117.631
293,2018-02-22,241,50,36.7302,117.631
293,2018-02-23,252,50,36.7302,117.631
293,2018-02-24,31,50,36.7302,117.631
293,2018-02-25,239,50,36.7302,117.631
293,2018-02-26,227,50,36.7302,117.631
293,2018-02-27,121,50,36.7302,117.631
293,2018-02-28,148,50,36.7302,117.631
293,2018-03-01,256,50,36.7302,117.631
293,2018-03-02,272,50,36.7302,117.631
293,2018-03-03,272,50,36.7302,117.631
293,2018-03-04,19,50,36.7302,117.631
293,2018-03-05,291,50,36.7302,117.631
293,2018-03-06,187,50,36.7302,117.631
293,2018-03-07,172,50,36.7302,117.631
293,2018-03-08,304,50,36.7302,117.631
293,2018-03-09,300,50,36.7302,117.631
293,2018-03-10,231,50,36.7302,117.631
293,2018-03-11,187,50,36.7302,117.631
293,2018-03-12,282,50,36.7302,117.631
293,2018-03-13,271,50,36.7302,117.631
293,2018-03-14,223,50,36.7302,117.631
293,2018-03-15,53,50,36.7302,117.631
293,2018-03-16,339,50,36.7302,117.631
293,2018-03-17,109,50,36.7302,117.631
293,2018-03-18,43,50,36.7302,117.631
293,2018-03-19,214,50,36.7302,117.631
293,2018-03-20,146,50,36.7302,117.631
293,2018-03-21,258,50,36.7302,117.631
293,2018-03-22,171,50,36.7302,117.631
293,2018-03-23,249,50,36.7302,117.631
293,2018-03-24,298,50,36.7302,117.631
293,2018-03-25,287,50,36.7302,117.631
293,2018-03-26,283,50,36.7302,117.631
293,2018-03-27,275,50,36.7302,117.631
293,2018-03-28,234,50,36.7302,117.631
293,2018-03-29,190,50,36.7302,117.631
293,2018-03-30,245,50,36.7302,117.631
293,2018-03-31,294,50,36.7302,117.631
293,2018-04-01,240,50,36.7302,117.631
293,2018-04-02,270,50,36.7302,117.631
293,2018-04-03,129,50,36.7302,117.631
293,2018-04-04,50,50,36.7302,117.631
293,2018-04-05,54,50,36.7302,117.631
293,2018-04-06,285,50,36.7302,117.631
293,2018-04-07,356,50,36.7302,117.631
293,2018-04-08,313,50,36.7302,117.631
293,2018-04-09,316,50,36.7302,117.631
293,2018-04-10,103,50,36.7302,117.631
293,2018-04-11,276,50,36.7302,117.631
293,2018-04-12,151,50,36.7302,117.631
293,2018-04-13,35,50,36.7302,117.631
293,2018-04-14,241,50,36.7302,117.631
293,2018-04-15,333,50,36.7302,117.631
293,2018-04-16,299,50,36.7302,117.631
293,2018-04-17,69,50,36.7302,117.631
293,2018-04-18,299,50,36.7302,117.631
293,2018-04-19,302,50,36.7302,117.631
293,2018-04-20,311,50,36.7302,117.631
293,2018-04-21,213,50,36.7302,117.631
293,2018-04-22,30,50,36.7302,117.631
293,2018-04-23,44,50,36.7302,117.631
293,2018-04-24,321,50,36.7302,117.631
293,2018-04-25,303,50,36.7302,117.631
293,2018-04-26,288,50,36.7302,117.631
293,2018-04-27,315,50,36.7302,117.631
293,2018-04-28,298,50,36.7302,117.631
293,2018-04-29,263,50,36.7302,117.631
293,2018-04-30,232,50,36.7302,117.631
293,2018-05-01,98,50,36.7302,117.631
293,2018-05-02,292,50,36.7302,117.631
293,2018-05-03,349,50,36.7302,117.631
293,2018-05-04,332,50,36.7302,117.631
293,2018-05-05,74,50,36.7302,117.631
293,2018-05-06,173,50,36.7302,117.631
293,2018-05-07,296,50,36.7302,117.631
293,2018-05-08,334,50,36.7302,117.631
293,2018-05-09,310,50,36.7302,117.631
293,2018-05-10,306,50,36.7302,117.631
293,2018-05-11,88,50,36.7302,117.631
293,2018-05-12,225,50,36.7302,117.631
293,2018-05-13,276,50,36.7302,117.631
293,2018-05-14,278,50,36.7302,117.631
293,2018-05-15,146,50,36.7302,117.631
293,2018-05-16,104,50,36.7302,117.631
293,2018-05-17,42,50,36.7302,117.631
293,2018-05-18,280,50,36.7302,117.631
293,2018-05-19,278,50,36.7302,117.631
293,2018-05-20,142,50,36.7302,117.631
293,2018-05-21,82,50,36.7302,117.631
