stationCode,changZhanId,title,longitude,latitude
JY-RF-016,536,官王寨村,117.373,37.1824
JY-RF-017,537,兰家村,117.392,37.2356
JY-RF-018,538,李八村,117.394,37.1473
JY-RF-019,539,前乔村,117.394,37.1235
JY-RF-020,540,晋家村,117.39,37.1166
JY-RF-021,541,前王圈村,117.405,37.1057
JY-TP-018,542,路家桥村,116.977,37.0268
JY-TP-019,543,茅草张村,117.027,36.9325
JY-QD-019,544,白家村2,117.219,37.1209
JY-QD-020,545,大奎村2,117.34,37.1636
JY-QD-021,546,曲堤镇范家村,117.326,37.1258
JY-QD-022,547,河沟村,117.347,37.1302
JY-QD-023,548,曲堤镇三合村,117.321,37.1577
JY-QD-024,549,沙陈村,117.248,37.127
JY-QD-025,550,曲堤镇孙家村,117.259,37.1247
JY-QD-026,551,王大来村,117.327,37.1185
JY-QD-027,552,王义寨村,117.229,37.0971
JY-QD-028,553,曲堤镇薛家村,117.268,37.1759
JY-QD-029,554,周家村2,117.259,37.1638
JY-XS-011,555,姑寺张村,116.956,37.0489
JY-XS-012,556,贾家村,116.962,37.0702
JY-XS-013,557,吕家村,116.986,37.0922
JY-XS-014,558,孟家村,117.038,37.0541
JY-XS-015,559,牛王店村,117.053,37.0609
JY-XS-016,560,王楼村,116.99,37.0494
JY-JBJD-004,561,李旺村,117.304,37.1132
JY-JYJD-009,562,济阳街道宋家村,117.218,37.0261
JY-JYJD-010,563,葛店村,117.223,37.0678
JY-HH-025,564,东街村,117.147,36.8967
JY-HH-026,565,吴寨村,117.117,36.9991
JY-HH-027,566,南王村,117.116,36.8922
JY-HH-028,567,后刘村2,117.09,36.9412
JY-DS-018,568,刘家村,117.13,37.0829
JY-DS-019,569,罗家码头村,117.026,37.0273
JY-DS-020,570,江家屯村,117.142,37.0358
JY-DS-021,571,柳家村,117.101,37.0364
JY-DS-022,572,米桥村,117.148,37.1041
JY-DS-023,573,胡贤村,117.197,37.0708
JY-DS-024,574,麻张村,117.144,37.1115
JY-SG-005,575,孙耿镇薛家村,117.055,36.9257
JY-SG-006,576,冯家村,116.978,36.8797
JY-SG-007,577,孙耿镇范家村,117.015,36.9197
JY-SG-008,578,西郎村,117.026,36.8798
SH-SJ-009,579,小郭家村,117.194,37.3071
SH-XS-006,580,柳行村,117.159,37.3392
SH-XS-007,581,三里庄村,117.158,37.3392
SH-XS-008,582,周家村,117.193,37.3216
SH-XS-009,583,小吴家村,117.136,37.3118
SH-XS-010,584,靠城孙村,117.142,37.3217
SH-XS-011,585,前东王村,117.214,37.2612
SH-XS-012,586,许商范家村,117.141,37.342
SH-HM-008,587,站北村,117.243,37.5234
SH-HM-009,588,西燕村,117.22,37.4775
SH-HM-010,589,大冯家村,117.218,37.4775
SH-HM-011,590,东孙村,117.311,37.4955
SH-HM-012,591,店子张村,117.234,37.4701
SH-HM-013,592,西杨村,117.219,37.4761
SH-HM-014,593,打狗店村,117.224,37.4552
SH-HM-015,594,杆子行村,117.219,37.4775
SH-ZF-017,595,北赵村,117.073,37.3655
SH-ZF-018,596,张坊镇马家村,117.051,37.346
SH-SHX-003,597,棘城中街村,117.33,37.435
SH-SHX-004,598,小胡村,117.217,37.2338
